city_name,country_code,latitude,longitude
khulm,af,36.69736,67.69826
khudaydad_khel,af,35.17835,67.68758
khinjan,af,35.58908,68.90093
khinj,af,35.42898,69.73482
khash,af,31.52919,62.79055
khan_neshin,af,30.54880,63.78880
khanaqah,af,36.62587,69.53695
chahar_bagh,af,37.00108,65.22392
khandud,af,36.95127,72.31800
khanaqah,af,36.86279,66.16656
khanabad,af,36.68250,69.11556
khamyab,af,37.52750,65.75833
khakiran,af,32.83850,67.07377
kazhah,af,34.24088,70.18274
kishk_e_nakhud,af,31.62519,65.05511
karukh,af,34.48108,62.58630
kanday,af,34.95360,70.77897
kandahar,af,31.61332,65.71013
kalan_deh,af,33.83676,68.40233
kalakan,af,34.78371,69.15001
kalafgan,af,36.77226,69.94489
kajran,af,33.20357,65.47311
kai,af,34.12819,70.71828
kabul,af,34.52813,69.17233
jurm,af,36.86477,70.83421
jawand,af,35.06361,64.14917
jani_khel,af,32.76315,68.39722
jalrez,af,34.47080,68.65438
jalalabad,af,34.42647,70.45153
jabal_os_saraj,af,35.11833,69.23778
hukumat_e_shinkai,af,31.98303,67.33558
herat,af,34.34817,62.19967
haji_khel,af,35.10922,69.43341
hafiz_moghul,af,37.05643,70.40061
khafizan,af,34.28665,70.37247
guzarah,af,34.21223,62.21235
goshtah,af,34.35822,70.76264
gomal_kelay,af,32.50989,68.85598
alaqahdari_gelan,af,32.72692,67.63696
ghoriyan,af,34.34480,61.49321
ghormach,af,35.73062,63.78264
ghurayd_gharame,af,36.52220,70.79063
ghazni,af,33.55391,68.42096
gereshk,af,31.82089,64.57005
gardez,af,33.59744,69.22592
fayzabad,af,37.11664,70.58002
faizabad,af,36.82091,66.45921
fayzabad,af,36.29111,64.86222
qal_ah_ye_farsi,af,33.78529,63.24735
farkhar,af,36.57288,69.85783
farah,af,32.37451,62.11638
istalif,af,34.83268,69.07756
kafir_qala,af,34.66667,61.06667
injil,af,34.30157,62.24650
imam_sahib,af,37.18897,68.93644
